Date,Open,High,Low,Close,Adj Close,Volume
2017-04-24,172.000000,172.610001,171.330002,172.330002,172.330002,1906900
2017-04-25,172.910004,173.039993,172.289993,172.679993,172.679993,1503000
2017-04-26,178.050003,178.270004,175.419998,176.800003,176.800003,4591300
2017-04-27,177.320007,177.789993,176.419998,177.449997,177.449997,2148700
2017-04-28,178.070007,178.070007,176.929993,177.520004,177.520004,2364500
2017-05-01,178.500000,178.500000,177.330002,177.860001,177.860001,3328000
2017-05-02,178.720001,178.940002,177.940002,178.589996,178.589996,2505300
2017-05-03,178.740005,180.460007,178.699997,179.820007,179.820007,2900500
2017-05-04,180.050003,183.179993,180.000000,182.449997,182.449997,3762200
2017-05-05,182.770004,182.919998,179.759995,180.199997,180.199997,3713600
2017-05-08,174.660004,174.699997,171.600006,172.639999,172.639999,3538000
2017-05-09,173.610001,173.919998,172.309998,172.679993,172.679993,2662100
2017-05-10,172.029999,172.089996,170.660004,171.350006,171.350006,2554500
2017-05-11,170.779999,171.550003,170.100006,171.259995,171.259995,2106000
2017-05-12,171.289993,171.850006,170.320007,170.880005,170.880005,1586800
2017-05-15,170.300003,171.979996,170.300003,171.570007,171.570007,1733600
2017-05-16,171.960007,171.960007,170.630005,171.000000,171.000000,1129200
2017-05-17,170.660004,171.500000,169.059998,169.149994,169.149994,2201400
2017-05-18,170.080002,171.020004,169.690002,170.720001,170.720001,1589700
2017-05-19,171.350006,172.429993,170.809998,171.639999,171.639999,1870500
2017-05-22,171.750000,173.240005,171.630005,172.399994,172.399994,847306
