Date,Open,High,Low,Close,Adj Close,Volume
2017-04-24,47.889999,48.200001,47.750000,48.150002,48.150002,9860400
2017-04-25,48.290001,48.459999,48.160000,48.400002,48.400002,10288200
2017-04-26,48.400002,48.470001,48.169998,48.259998,48.259998,4053100
2017-04-27,48.080002,48.470001,48.020000,48.360001,48.360001,10635400
2017-04-28,48.450001,48.500000,48.160000,48.209999,48.209999,4925400
2017-05-01,48.220001,48.779999,48.119999,48.610001,48.610001,6386500
2017-05-02,48.720001,49.299999,48.720001,49.090000,49.090000,6106300
2017-05-03,49.189999,49.189999,48.169998,48.540001,48.540001,4702400
2017-05-04,48.630001,48.680000,48.160000,48.450001,48.450001,6208900
2017-05-05,48.450001,48.660000,48.270000,48.490002,48.490002,7835500
2017-05-08,48.709999,48.959999,48.509998,48.849998,48.849998,10059600
2017-05-09,49.139999,49.669998,48.939999,49.490002,49.490002,10279100
2017-05-10,49.400002,49.599998,49.139999,49.400002,49.400002,8360400
2017-05-11,49.450001,49.709999,49.139999,49.689999,49.689999,6142900
2017-05-12,49.750000,49.750000,49.439999,49.650002,49.650002,6185800
2017-05-15,49.709999,49.939999,49.480000,49.860001,49.860001,9129300
2017-05-16,50.049999,51.119999,50.029999,50.959999,50.959999,19423600
2017-05-17,50.700001,50.700001,49.450001,49.650002,49.650002,20954100
2017-05-18,48.680000,50.029999,47.740002,49.630001,49.630001,13737500
2017-05-19,50.029999,51.230000,50.009998,50.180000,50.180000,11163800
2017-05-22,50.509998,51.080002,50.215000,50.650002,50.650002,9057621
